0000001_0000000 0000001_0000000 0000010_0000000 0000011_0000000 0000100_0000000 0000101_0000000
0000001_0000000 0000010_0000000 0000100_0000000 0000011_0000000 0000001_0000000 0000000_0000000
0000010_0000000 0000100_0000000 0000001_0000000 0000101_0000000 0000010_0000000 0000001_0000000
0000011_0000000 0000011_0000000 0000101_0000000 0000010_0000000 0000010_0000000 0000011_0000000
0000100_0000000 0000001_0000000 0000010_0000000 0000010_0000000 0000001_0000000 0000100_0000000
0000101_0000000 0000000_0000000 0000001_0000000 0000011_0000000 0000100_0000000 0000011_0000000

//  1.0  1.0  2.0  3.0  4.0  5.0
//  1.0  2.0  4.0  3.0  1.0  0.0
//  2.0  4.0  1.0  5.0  2.0  1.0
//  3.0  3.0  5.0  2.0  2.0  3.0
//  4.0  1.0  2.0  2.0  1.0  4.0
//  5.0  0.0  1.0  3.0  4.0  3.0
// fixed point Q7.7
